session_id	date	day	session_type	program_day_id	workout_day_or_focus	status	duration_min	intensity_RPE_0_10	location	session_summary	notes	linked_set_session_id
S1	2026-04-??		Gym		Push (Hypertrophy Focus)	Completed				Legacy gym session migrated: 17 set rows across 6 exercises	Detailed notes retained in Set Log.	S1
S2	2026-04-??		Gym		Pull (Hypertrophy Focus)	Completed				Legacy gym session migrated: 23 set rows across 7 exercises	Detailed notes retained in Set Log.	S2
S3	2026-04-??		Gym		Push (Hypertrophy Focus)	Completed				Legacy gym session migrated: 16 set rows across 6 exercises	Detailed notes retained in Set Log.	S3
S4	2026-04-??		Gym		Pull (Hypertrophy Focus)	Completed				Legacy gym session migrated: 19 set rows across 7 exercises	Detailed notes retained in Set Log.	S4
S5	2026-04-??		Gym		Pull (Hypertrophy Focus)	Completed				Legacy gym session migrated: 22 set rows across 7 exercises	Detailed notes retained in Set Log.	S5
S6	2026-05-18	Mon	Gym	PD-W01-PUSH-HYPERTROPHY	Push (Hypertrophy Focus)	Completed				Completed Push workout. Clean logged sets: bench press, machine shoulder press, high-cable lateral raise.	Warm-ups completed but not logged. Bottom-Half DB Flye completed but not loggable (mixed weights/forms/equipment). Overhead Cable Triceps Extension (Bar) completed but not loggable (mixed weights/forms). Cable Triceps Kickback completed but not loggable (mixed weights/forms). Roman Chair Leg Raise skipped.	S6
S7	2026-05-21	Thu	Gym	PD-W01-UPPER-STRENGTH	Upper (Strength Focus)	Partial				Partial Upper workout: completed incline DB press, pec deck, wide-grip assisted pull-up, high-cable lateral raise, and light single-arm DB row practice.	User clarified this Upper session happened on Thu 2026-05-21, not Fri 2026-05-22. Warm-ups completed but not logged. 45° Incline DB Press substituted for 45° Incline Barbell Press. Pec Deck substituted for Cable Crossover Ladder. Single-Arm DB Row used as substitution option 2 for Pendlay Deficit Row and performed as technique/practice sets. Overhead Cable Triceps Extension (Bar) and Bayesian Cable Curl skipped due to time.	S7
S8	2026-05-22	Fri	Gym	PD-W01-PULL-HYPERTROPHY	Pull (Hypertrophy Focus)	Completed				Completed Pull workout: neutral-grip lat pulldown, chest-supported machine row, neutral-grip seated cable row, 1-arm 45° cable rear delt flye, EZ-bar cable curl, EZ-bar preacher curl, machine shrug skipped.	Warm-ups not logged. User provided detailed set log. Machine Shrug skipped; user preferred biceps first and then skipped shrug at end.	S8
S9	2026-05-24	Sun	Football			Completed				Football session logged.	Details not provided yet.	
